 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-40 Y:-52 Z:943
X:-37 Y:-58 Z:955
X:-42 Y:-52 Z:947
X:-43 Y:-53 Z:946
X:-48 Y:-48 Z:934
X:-51 Y:-56 Z:947
X:-47 Y:-59 Z:947
X:-48 Y:-48 Z:947
X:-45 Y:-58 Z:946
X:-47 Y:-52 Z:954
X:-41 Y:-54 Z:938
X:-40 Y:-52 Z:943
X:-48 Y:-54 Z:948
X:-45 Y:-52 Z:947
X:-54 Y:-60 Z:946
X:-41 Y:-57 Z:947
X:-46 Y:-54 Z:946
X:-48 Y:-49 Z:942
X:-48 Y:-53 Z:940
X:-52 Y:-60 Z:951
X:-47 Y:-55 Z:945
X:-35 Y:-51 Z:950
X:-40 Y:-53 Z:961
X:-50 Y:-49 Z:943
X:-44 Y:-54 Z:947
X:-47 Y:-57 Z:937
X:-37 Y:-51 Z:951
X:-37 Y:-62 Z:943
X:-42 Y:-52 Z:950
X:-38 Y:-44 Z:946
X:-45 Y:-46 Z:947
X:-42 Y:-55 Z:932
X:-46 Y:-52 Z:948
X:-44 Y:-59 Z:952
X:-54 Y:-59 Z:941
X:-47 Y:-61 Z:950
X:-49 Y:-56 Z:941
X:-40 Y:-55 Z:947
X:-47 Y:-52 Z:952
X:-50 Y:-55 Z:942
X:-48 Y:-43 Z:949
X:-47 Y:-56 Z:948
X:-47 Y:-54 Z:946
X:-43 Y:-44 Z:938
X:-41 Y:-55 Z:948
X:-41 Y:-56 Z:937
X:-44 Y:-61 Z:945
X:-44 Y:-49 Z:946
X:-40 Y:-60 Z:939
X:-45 Y:-59 Z:945
X:-42 Y:-58 Z:944
X:-36 Y:-59 Z:950
X:-44 Y:-59 Z:944
X:-40 Y:-54 Z:946
X:-43 Y:-52 Z:954
X:-45 Y:-47 Z:946
X:-41 Y:-60 Z:939
X:-45 Y:-58 Z:946
X:-47 Y:-51 Z:945
X:-49 Y:-53 Z:947
X:-45 Y:-57 Z:942
X:-45 Y:-57 Z:945
